route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,002618,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260223,8511,0,27233,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000204,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260122,8511,0,27234,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000134,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260123,8511,0,27235,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000161,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20260221,8511,0,27236,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000205,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:1717:20260124,8511,0,27237,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000046,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1940:20251219,8511,0,27238,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,005683,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1941:20251213,8511,0,27239,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000010,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87611004:3:1941:20251212,8511,0,27240,
FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54:,000141,OCESN8511F1187_F:OUI:FR:Line::A74B127A-8882-4043-BAAA-F49A6703DE54::87391003:87581009:2:1711:20251122,8511,0,27241,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000390,OCESN851101F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:810:20260327,851101,0,27242,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000005,OCESN851101F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:812:20251212,851101,0,27243,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005684,OCESN851102F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:849:20260328,851102,1,27244,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000205,OCESN851102F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:846:20260124,851102,1,27245,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001581,OCESN851102F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:849:20251213,851102,1,27246,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001575,OCESN851103F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:2139:20260326,851103,0,27247,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000625,OCESN851103F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:2219:20260327,851103,0,27248,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000016,OCESN851103F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:2148:20251211,851103,0,27249,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000010,OCESN851103F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:2220:20251212,851103,0,27250,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005685,OCESN851104F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1049:20260328,851104,1,27251,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000205,OCESN851104F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1055:20260124,851104,1,27252,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001059,OCESN851104F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1049:20251213,851104,1,27253,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005686,OCESN851106F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1249:20260322,851106,1,27254,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000421,OCESN851106F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1245:20260125,851106,1,27255,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000824,OCESN851106F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1249:20251213,851106,1,27256,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000205,OCESN851107F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:939:20260124,851107,0,27257,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005684,OCESN851107F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:943:20260328,851107,0,27258,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001581,OCESN851107F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:943:20251213,851107,0,27259,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005687,OCESN851108F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1449:20260321,851108,1,27260,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000796,OCESN851108F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1449:20251213,851108,1,27261,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000205,OCESN851108F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1440:20260124,851108,1,27262,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001059,OCESN851109F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1143:20251213,851109,0,27263,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005685,OCESN851109F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1141:20260328,851109,0,27264,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000205,OCESN851109F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1152:20260124,851109,0,27265,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001596,OCESN851110F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1650:20260329,851110,1,27266,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001597,OCESN851110F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1650:20251213,851110,1,27267,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001578,OCESN851111F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1342:20260322,851111,0,27268,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000824,OCESN851111F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1343:20251213,851111,0,27269,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,001586,OCESN851112F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1849:20260321,851112,1,27270,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,000796,OCESN851112F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87387001:87381509:4:1849:20251213,851112,1,27271,
FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7:,005687,OCESN851113F1187_F:TER:FR:Line::57AE0F48-2436-44BD-A2F0-AA45D4A483E7::87381509:87387001:4:1542:20260321,851113,0,27272,
