stop_id,name,abbrev,code_insee,lat,lon
87616011,Avignonet-Lauragais,AWG,31037,43.3638769,1.7872687
87342584,Avion,AON,62065,50.40723,2.83365
87576439,Avord,ADG,18018,47.0349061,2.6523757
87718551,Avoudrey,AVO,25039,47.1298359,6.434573
87448514,Avranches,AVR,50025,48.6902445,-1.3700755
87313296,Avrechy,AVY,60034,49.4446439,2.4179608
87611533,Ax-les-Thermes,AXN,09032,42.7247967,1.8332516
87171561,Ay,AYN,51030,49.0487318,4.0015644
87437806,Aytré Plage,ATL,17028,46.1273815,-1.1280462
87571638,Azay-le-Rideau,AZR,37014,47.2663383,0.4475388
87574442,Azay-sur-Cher,EUR,37156,47.3652695,0.8599885
87141408,Azerailles,AZE,54038,48.4913355,6.695778
87590349,Babinière,BBR,44035,47.25875274,-1.544928378
87141416,Baccarat,BAC,54039,48.452405,6.74383
87613604,Bagnac-sur-Célé,BAG,46015,44.6652105,2.1602503
87684191,Bagneaux-sur-Loing,BXN,77016,48.2304802,2.7033327
87783647,Bagnols - Chadenet,BCT,48037,44.5286125,3.628178
87764571,Bagnols-sur-Cèze,BSC,30028,44.161626,4.627032
87773457,Baillargues,BGU,34022,43.6533234,4.0071585
87394411,Bailleau-le-Pin,BAP,28021,48.3668028,1.3248851
87286179,Bailleul,BIU,59043,50.72916,2.73445
87342592,Bailleul-Sir-Berthoult,BSH,62073,50.3351257,2.8409809
87710780,Bailly,BLY,78043,48.837331,2.073981
87144147,Bains-les-Bains,BNS,88108,47.9811282,6.2952683
87286872,Baisieux,BAI,59044,50.61845,3.2347796
87313569,Balagny Saint-Épin,BXE,60044,49.2942448,2.3441977
87726869,Balbigny,BBY,42011,45.817858,4.187443
87571604,Ballan-Miré,BME,37018,47.3369919,0.6188975
87681437,Ballancourt-sur-Essonne,BUR,91045,48.532114,2.371274
87111864,Balsièges,BKB,48016,44.4820108,3.4560976
87783324,Banassac - La Canourgue,BAA,48017,44.4477632,3.1958518
87755223,Bandol,BND,83009,43.140344,5.750118
87474189,Bannalec,BNC,29004,47.9267473,-3.7065268
87182840,Bantzenheim,BTZ,68020,47.8109675,7.5038675
87784298,Banyuls-sur-Mer,BAN,66016,42.4829582,3.1250496
87175042,Bar-le-Duc,BLD,55029,48.773308,5.166822
87118299,Bar-sur-Aube,BRB,10033,48.2385399,4.7066708
87615757,Baraqueville Carcenac Peyralès,BAQ,12056,44.2704368,2.4275453
87411264,Barentin,BTM,76057,49.549123,0.953517
87783563,Barjac,BJC,48018,44.4992638,3.4109786
87192658,Baroncourt,BTS,55158,49.2845332,5.6997387
87214247,Barr,BAR,67021,48.4032933,7.4565189
87582759,Barsac,BSQ,33030,44.6054306,-0.3215775
87182113,Bartenheim,BTK,68021,47.6349313,7.4872561
87726778,Bas - Monistrol-sur-Loire,BMO,43020,45.297596,4.139602
87184200,Bas Évette,BEV,90042,47.6810089,6.8068494
87699223,Base Aérienne,BAE,41194,47.320184,1.681869
87191601,Basse-Ham,BHD,57287,49.3805708,6.2348709
87581850,Bassens,BAS,33032,44.9012933,-0.5223144
87481770,Batz-sur-Mer,BSK,44010,47.2809541,-2.4789866
87574152,Baule,BLJ,45024,47.8117535,1.668127
87718460,Baume-les-Dames,BDA,25047,47.353937,6.359603
87345280,Bauvin - Provin,BVP,59052,50.51168,2.9054
87444067,Bayeux,BAY,14047,49.269836,-0.698056
87141218,Bayon,BYN,54585,48.468046,6.322569
87673004,Bayonne,BYE,64102,43.496801,-1.470306
87171462,Bazancourt,BZT,51043,49.361202,4.173887
87611723,Baziège,BAZ,31048,43.4535696,1.6205019
87696468,Béard,BVE,58025,46.8652207,3.3179944
87317610,Beau Marais,BMQ,62193,50.945371,1.8983301
87775023,Beaucaire,BCK,30032,43.80209,4.6470865
87574160,Beaugency,BGY,45028,47.778365,1.625938
87756379,Beaulieu-sur-Mer,BUM,06011,43.706651,7.331545
87387183,Beaumont-le-Roger,BLR,27051,49.0741722,0.7727865
87713545,Beaune,BEA,21054,47.023053,4.848379
87317198,Beaurainville,BIV,62100,50.422891,1.895345
87582700,Beautiran,BIR,33037,44.701041,-0.45017
87313510,Beauvais,BVS,60057,49.42648,2.08869
